Src_Vertex,PopulateTime(ms),MemUsage(MB),BFSTime(ms),BFSSum,DFSTime(ms),DFSSum
2,1907,284.676,1112,2.35432e+06,1340,2.35432e+06
2,1797,430.562,1128,2.35432e+06,1230,2.35432e+06
2,1827,321.652,1118,2.35432e+06,1249,2.35432e+06
2,1815,322.293,1117,2.35432e+06,1253,2.35432e+06
2,1835,322.293,1108,2.35432e+06,1226,2.35432e+06
2,1932,315.031,1109,2.35432e+06,1237,2.35432e+06
2,1835,321.82,1107,2.35432e+06,1229,2.35432e+06
2,1802,321.848,1111,2.35432e+06,1233,2.35432e+06
2,1790,321.848,1086,2.35432e+06,1192,2.35432e+06
2,1817,321.809,1139,2.35432e+06,1243,2.35432e+06
