Src_Vertex,PopulateTime(ms),MemUsage(MB),BFSTime(ms),BFSSum,DFSTime(ms),DFSSum
2,385,284.676,1044,2.35432e+06,1354,2.35432e+06
2,277,425.074,1151,2.35432e+06,1254,2.35432e+06
2,285,323.016,1138,2.35432e+06,1271,2.35432e+06
2,280,323.016,1189,2.35432e+06,1278,2.35432e+06
2,295,322.855,1172,2.35432e+06,1308,2.35432e+06
2,277,322.855,1125,2.35432e+06,1274,2.35432e+06
2,281,323.641,1148,2.35432e+06,1271,2.35432e+06
2,280,323.641,1111,2.35432e+06,1242,2.35432e+06
2,280,322.855,1142,2.35432e+06,1247,2.35432e+06
2,284,322.855,1226,2.35432e+06,1294,2.35432e+06
