Src_Vertex,PopulateTime(ms),MemUsage(MB),BFSTime(ms),BFSSum,DFSTime(ms),DFSSum
2,493,152.875,146,2.35432e+06,202,2.35432e+06
2,537,183.062,145,2.35432e+06,178,2.35432e+06
2,454,251.125,132,2.35432e+06,154,2.35432e+06
2,450,252.672,129,2.35432e+06,161,2.35432e+06
2,451,253.188,128,2.35432e+06,157,2.35432e+06
2,441,253.703,134,2.35432e+06,156,2.35432e+06
2,451,253.703,137,2.35432e+06,158,2.35432e+06
2,456,253.703,134,2.35432e+06,156,2.35432e+06
2,464,253.703,139,2.35432e+06,160,2.35432e+06
2,481,253.703,135,2.35432e+06,164,2.35432e+06
