Src_Vertex,PopulateTime(ms),MemUsage(MB),BFSTime(ms),BFSSum,DFSTime(ms),DFSSum
2,263,152.809,164,2.35432e+06,248,2.35432e+06
2,254,182.496,170,2.35432e+06,197,2.35432e+06
2,239,249.012,168,2.35432e+06,206,2.35432e+06
2,245,251.074,163,2.35432e+06,198,2.35432e+06
2,242,251.848,159,2.35432e+06,196,2.35432e+06
2,235,251.848,164,2.35432e+06,194,2.35432e+06
2,242,251.848,158,2.35432e+06,193,2.35432e+06
2,219,251.848,150,2.35432e+06,174,2.35432e+06
2,216,251.848,162,2.35432e+06,175,2.35432e+06
2,235,251.848,155,2.35432e+06,180,2.35432e+06
