Src_Vertex,PopulateTime(ms),MemUsage(MB),BFSTime(ms),BFSSum,DFSTime(ms),DFSSum
2,2429,416.16,826,2.35432e+06,818,2.35432e+06
2,2246,437.488,758,2.35432e+06,710,2.35432e+06
2,2698,452.699,1038,2.35432e+06,870,2.35432e+06
2,2243,452.699,798,2.35432e+06,863,2.35432e+06
2,2904,452.699,784,2.35432e+06,756,2.35432e+06
2,2212,452.699,784,2.35432e+06,756,2.35432e+06
2,2252,452.699,798,2.35432e+06,754,2.35432e+06
2,2271,452.699,792,2.35432e+06,781,2.35432e+06
2,2201,452.699,774,2.35432e+06,745,2.35432e+06
2,2220,452.699,800,2.35432e+06,752,2.35432e+06
