Src_Vertex,PopulateTime(ms),MemUsage(MB),BFSTime(ms),BFSSum,DFSTime(ms),DFSSum
2,755,416.16,1033,2.35432e+06,1080,2.35432e+06
2,605,437.605,1014,2.35432e+06,954,2.35432e+06
2,533,453.848,1005,2.35432e+06,916,2.35432e+06
2,543,453.848,1023,2.35432e+06,919,2.35432e+06
2,537,453.848,991,2.35432e+06,922,2.35432e+06
2,553,453.848,990,2.35432e+06,916,2.35432e+06
2,521,453.848,984,2.35432e+06,898,2.35432e+06
2,510,453.848,978,2.35432e+06,890,2.35432e+06
2,523,453.848,981,2.35432e+06,900,2.35432e+06
2,545,453.848,1010,2.35432e+06,903,2.35432e+06
